kind_code,kind_desc,model,color_desc,D_COLOR,meter_reading,eval_date,initial_price,سعر الشراء,suggested_price,car_age
607,GMC سفارى,1998,عنابي / احمـــر,203,87997,20020828,3500,3520,3895,4
1602,ديسكفرى لاندروفر,1998,ازرق /  ا ز ر ق,702,156486,20020828,2500,2570,2995,4
607,GMC سفارى,1996,رصاصى / بنــــي,1305,155862,20020829,2400,2550,2895,6
102,شفر كابرس بروجهــام,1993,عنابي / احمـــر,203,150125,20020829,0,850,0,9
3126,مرسيدس SE 500,1991,كحلي /  ا ز ر ق,802,126077,20020829,3000,3210,3395,11
3321,ميتسوبيشى  باجيرو,1998,عنابي / احمـــر,203,136926,20020829,3100,3330,3595,4
3606,تويوتا كريسيدا,1993,فضي,2700,284731,20020831,1100,1100,1395,9
3805,فورد جراند ماركيـــز,1994,اخضر / بيـــــج,504,166697,20020831,500,910,895,8
3805,فورد جراند ماركيـــز,1995,فضي,2700,170623,20020831,1200,1200,1495,7
3409,مازدا 323,1996,ذهبي / بيـــــج,1404,240125,20020831,600,640,895,6
3302,ميتسوبيشي كولـت,1998,ابيض /  ا ز ر ق,2002,106696,20020831,800,920,1095,4
4107,نيسان مكسيما,1998,ابيض / بيـــــج,2004,168249,20020831,1750,1815,2195,4
3706,هوندا سيفيك  D4,1995,احمر / بيـــــج,104,119276,20020831,750,800,995,7
3641,تويوتا جيب,1998,ابيض /  ا ز ر ق,2002,114564,20020901,2800,2850,3195,4
3636,تويوتا كامرى 4 سلندر,1998,اخضر / بيـــــج,504,117731,20020901,2600,2670,2995,4
135,شفر فينشر,1998,اخضر / رمـــادي,501,62325,20020901,2700,2800,3195,4
102,شفر كابرس بروجهــام,1996,ذهبي / بيـــــج,1404,151907,20020901,1900,2010,2195,6
3113,مرسيدس S 280,1994,احمر / بيـــــج,104,118190,20020901,2300,2450,2595,8
3321,ميتسوبيشى  باجيرو,1999,ابيض / رمـــادي,2001,159350,20020901,3800,4020,4195,3
607,GMC سفارى,1991,رمادى / رمــادى,1201,138812,20020902,900,1145,1295,11
3525,باترول -قماش,1998,اخضر / بيـــــج,504,192507,20020902,3300,3570,3695,4
102,شفر كابرس بروجهــام,1991,ابيض /  ا ز ر ق,2002,101619,20020903,600,600,995,11
